Datum;Zeit;Stickstoffmonoxid (NO)[µg/m³];Stickstoffdioxid (NO2)[µg/m³];Kohlenmonoxid (CO)[mg/m³];Benzol[µg/m³];PM10[µg/m³];PM2,5[µg/m³];Temperatur[°C];Luftdruck[hPa]
11.01.2021;18:00;72,2;62,8;0,58;3,08;22,4;12,6;2,2;1020
11.01.2021;19:00;70,4;61,3;0,57;3,08;27,5;14,4;2,0;1020
11.01.2021;20:00;56,0;54,8;0,47;2,10;25,5;15,6;1,7;1020
11.01.2021;21:00;44,9;48,6;0,46;1,98;26,0;16,5;1,6;1019
11.01.2021;22:00;29,4;41,8;0,36;2,20;21,1;16,0;1,5;1018
11.01.2021;23:00;18,0;34,4;0,38;1,70;22,7;17,2;1,4;1018
11.01.2021;24:00;15,0;31,2;0,38;1,69;20,8;18,2;1,4;1017
12.01.2021;01:00;7,0;25,2;0,32;1,41;21,2;19,0;1,6;1016
12.01.2021;02:00;6,8;18,4;0,22;1,78;20,1;18,8;1,6;1016
12.01.2021;03:00;4,4;18,6;0,22;1,28;18,2;16,7;1,8;1015
12.01.2021;04:00;2,2;12,5;0,18;1,12;15,8;14,4;2,2;1014
12.01.2021;05:00;3,6;16,6;0,16;0,78;14,8;13,4;1,3;1013
12.01.2021;06:00;17,8;30,8;0,26;1,25;12,2;11,4;0,6;1012
12.01.2021;07:00;20,9;34,0;0,26;1,18;8,4;7,8;0,7;1010
12.01.2021;08:00;36,0;38,6;0,32;1,08;5,8;4,6;0,9;1010
12.01.2021;09:00;38,0;39,2;0,30;1,26;4,2;3,2;1,0;1010
12.01.2021;10:00;29,0;34,0;0,24;1,12;3,7;2,3;1,4;1009
12.01.2021;11:00;33,2;36,0;0,30;1,04;4,3;2,0;2,0;1009
12.01.2021;12:00;34,0;37,0;0,32;1,10;5,4;1,9;2,7;1008
12.01.2021;13:00;27,0;31,1;0,22;1,12;3,4;1,6;3,0;1008
12.01.2021;14:00;30,4;33,2;0,30;0,88;2,1;1,2;3,6;1007
12.01.2021;15:00;42,9;42,4;0,32;0,98;2,4;1,6;3,6;1007
12.01.2021;16:00;43,1;43,7;0,34;1,24;3,6;2,6;3,6;1008
12.01.2021;17:00;51,5;52,9;0,44;1,28;4,4;2,6;3,7;1009
12.01.2021;18:00;45,3;54,3;0,48;1,94;5,9;3,8;4,0;1010
12.01.2021;19:00;38,6;53,6;0,36;1,32;5,9;4,2;4,2;1012
12.01.2021;20:00;23,2;45,2;0,25;0,94;7,4;5,8;3,3;1012
